# Number of years
20
# Number of ages
12
# Natural mortality
0.2
# Weight-at-age
0.0000  0.0060  0.0358  0.0918  0.1670  0.2526  0.3412  0.4276  0.5084  0.5816  0.6465  0.7031  0.7518
# CV (Catch)
0.05
# Sigma (log-CPUE)
0.2
# Omega (proportion data)
50
#Year    Catch   CPUE
# catch-at-age
1   0.5350  4.5388                                      
2	0.9670	5.2040										
3	1.2243	5.2759										
4	1.3095	3.1313										
5	1.2751	2.2436										
6	1.1824	2.7111										
7	1.0752	1.4797										
8	0.9762	1.4032										
9	0.8930	1.2396										
10	0.8254	0.6067										
11	0.6941	0.9535										
12	0.6337	0.8692											
13	0.6075	0.7859											
14	0.5977	0.9266											
15	0.5952	0.6931											
16	0.5956	0.8016											
17	0.5965	0.8333											
18	0.5966	0.8695											
19	0.5952	1.6363											
20  0.5915  1.1494                                          
#Year    0   1   2   3   4   5   6   7   8   9   10  11  12
1   0.0000  0.0200  0.0200  0.0600  0.1000  0.1700  0.1100  0.0900  0.1400  0.1300  0.0700  0.0300  0.0600
2	0.0000	0.0100	0.0400	0.1200	0.1300	0.1500	0.1100	0.1100	0.0700	0.0900	0.0500	0.0700	0.0500
3	0.0100	0.0200	0.0400	0.1000	0.1300	0.1400	0.1500	0.0700	0.1200	0.0500	0.0500	0.0700	0.0500
4	0.0200	0.0100	0.0400	0.0900	0.1300	0.1900	0.1500	0.1400	0.0600	0.0300	0.0800	0.0500	0.0100
5	0.0000	0.0500	0.0700	0.1500	0.1300	0.1300	0.1300	0.0900	0.0700	0.0500	0.0400	0.0300	0.0600
6	0.0300	0.0500	0.0800	0.1600	0.1900	0.0800	0.0900	0.1100	0.0800	0.0500	0.0400	0.0300	0.0100
7	0.0100	0.1000	0.1000	0.1200	0.1900	0.1500	0.1400	0.0800	0.0400	0.0300	0.0100	0.0300	0.0000
8	0.0200	0.0800	0.1000	0.2400	0.1900	0.1600	0.1400	0.0300	0.0300	0.0000	0.0000	0.0100	0.0000
9	0.0200	0.0400	0.1600	0.1800	0.2400	0.1000	0.1200	0.0900	0.0100	0.0200	0.0200	0.0000	0.0000
10	0.0100	0.0700	0.1300	0.1800	0.3000	0.1700	0.0900	0.0300	0.0100	0.0100	0.0000	0.0000	0.0000
11	0.0500	0.1300	0.1200	0.2200	0.1700	0.1500	0.1000	0.0400	0.0000	0.0100	0.0100	0.0000	0.0000
12	0.0200	0.0600	0.1700	0.2500	0.2400	0.1700	0.0500	0.0100	0.0300	0.0000	0.0000	0.0000	0.0000
13	0.0200	0.1300	0.1200	0.2000	0.2000	0.1600	0.1000	0.0500	0.0200	0.0000	0.0000	0.0000	0.0000
14	0.0300	0.1200	0.1200	0.2100	0.2900	0.1100	0.0800	0.0300	0.0100	0.0000	0.0000	0.0000	0.0000
15	0.0700	0.0800	0.1400	0.2100	0.1900	0.1300	0.0900	0.0600	0.0200	0.0100	0.0000	0.0000	0.0000
16	0.0800	0.0800	0.1400	0.2000	0.1900	0.1800	0.1000	0.0300	0.0000	0.0000	0.0000	0.0000	0.0000
17	0.0100	0.0500	0.1200	0.2200	0.2900	0.1800	0.0600	0.0600	0.0000	0.0100	0.0000	0.0000	0.0000
18	0.0700	0.1200	0.0600	0.1600	0.2800	0.1600	0.0900	0.0300	0.0200	0.0000	0.0100	0.0000	0.0000
19	0.0400	0.0500	0.0600	0.2200	0.2300	0.2000	0.0800	0.0600	0.0400	0.0100	0.0000	0.0100	0.0000
20  0.0200  0.0600  0.1500  0.1100  0.1900  0.2100  0.1500  0.0500  0.0400  0.0100  0.0000  0.0100  0.0000

